編號,國文,英文,數學,自然,社會
1,94,87,53,63,98
2,60,81,64,91,72
3,64,78,78,99,94
4,90,97,55,74,76
5,64,77,68,62,83
6,92,77,59,59,74
7,73,93,54,98,82
8,69,93,90,98,64
9,81,71,87,93,82
10,63,70,72,60,80
11,64,69,65,63,77
12,53,75,95,60,74
13,98,80,64,77,59
14,92,83,80,74,56
15,50,89,97,91,72
16,53,56,97,80,70
17,60,63,76,54,86
18,82,98,58,68,66
19,74,95,88,69,73
20,64,59,67,61,90
21,71,93,71,77,53
22,98,90,60,75,89
23,67,71,71,65,56
24,52,98,77,54,86
25,88,75,94,70,94
26,75,86,76,94,54
27,90,77,98,50,81
28,78,72,73,68,70
29,57,88,88,61,65
30,87,98,99,69,52
31,86,77,76,85,52
32,55,68,86,83,82
33,50,59,50,61,70
34,53,70,71,76,91
35,71,75,66,68,59
36,54,57,98,57,83
37,87,87,78,50,77
38,80,70,93,85,84
39,74,92,50,78,95
40,64,84,52,67,56
41,68,67,59,88,92
42,54,97,77,82,72
43,86,80,93,85,97
44,97,50,97,83,57
45,68,93,88,71,60
46,71,93,97,87,67
47,70,51,64,87,60
48,65,55,94,58,100
49,50,77,74,76,55
50,55,55,67,75,60
